path,sha256,origin,source_commit,author,classification,license,decision,reviewer,evidence
.gitattributes,c315632bbecb7337a950917d96a48a15602b8142b847df9cd96db7c183372c3f,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.github/CODEOWNERS,41e14aaa1d3538dafe99e1327a8fb89f969047866e943ad72e5c55bf25b49f0e,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.github/ISSUE_TEMPLATE/bug.yml,4c77f605d949f8d1417af131d0b47bbcec7512bc0b49c4da6b46e3821889f51f,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.github/ISSUE_TEMPLATE/config.yml,79927df8cd38248b10811e0e818893f34fcc4bbf26000937ee24652e59c1db84,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.github/ISSUE_TEMPLATE/configuration.yml,2cc74e429fcc066d51a128d9270c1dca908a2371efb5e235bf624223509afa05,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.github/ISSUE_TEMPLATE/documentation.yml,a2e92791d0ef6259e9eaf90599168017f055522d544b660f35b10c6ed2d15405,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.github/ISSUE_TEMPLATE/feature.yml,7c4a762df2298125ea745e2099a9d9e8db7f8d2bb84cf2ab38134b5ae12d9efe,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.github/dependabot.yml,0d610c37a11a570efaa465807292fd8a0105cfa96d2bd23c127ebd43438ea057,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.github/pull_request_template.md,3c12843c96494c7eb67a9e0325338551a5834f0dd87234733a3335d9804f28a0,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.github/workflows/ci.yml,02dee37474613856891966634305c586e9ab006c59b26846c6378559551c3130,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.github/workflows/cla.yml,644546124fbb4cb778d7a6adbe2e44da4ab9ae4ac34e563f9744dda89664db5a,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.github/workflows/codeql.yml,4d77fe25a79a3b1e024b287baae3a20486b7bb26c6889be29aaf46525eb09ddc,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.github/workflows/promotion-gate.yml,32835f12f305cea003eab2c5c0a76287240b5326cd60ed58705a25376cba30c8,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.github/workflows/release.yml,191746aa07c85ab85e25e4b4870dc501b000bc34834e299695d4bac234f71039,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.gitignore,d52339668eaaf9f909c5f3381676d3a25c23618d079a219ba09458b5c1568e69,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.hubicg/config.json,1e7eb937b3eae199bab2adf5327100ab6c4adcfb29e1664ab2007000fc2e4004,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.hubicg/filename-policy.json,9fed31d0ca5bb92956c0ab49b1800e477c605e8b19f1a43fd0f9f5a0302e6a22,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.hubicg/gates/p0-maintainers.json,17ca0cc2e5f915a414e82c46cb4c93587508fff466fee0bedc682621ab650f1b,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.hubicg/gates/p0-marks.json,4eb6111b872081d2a2587d181168f3895d1242369108cc8ceb781e86c5f4f26c,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.hubicg/gates/p0-provenance.json,c9a19f4b1e5d22fe7ba1b5566b78e0f280f156ff980a0376e2cbbde8fafb5228,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.hubicg/roles/git-devops.json,0339bacdd340410d53b8c272b88ec219706354c8a9aaaa2b4d063bfe14d28598,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.hubicg/roles/software-development.json,12f850f97ee2a2a5de0f4d7c9f4a3faafe34e2dc80d79ed5c83c0cb0184a7469,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.hubicg/roles/solution-architecture.json,e8ebca2b393b25ca3fdc7e7a081974343ac32c491baa93249389eefa9eaae2f2,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
.mailmap,38a4d3f0b48c95be7bf7ca28e64868e38dbcd5923b5ba76f9c3efebb0f3c879b,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
CHANGELOG.md,851ada77b1ec3bd42a5555b529cb36f5ae2380a4e953a18251f7af5bdb66daf2,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
CLA-CORPORATE.md,a1c00aca32ba9b277cf393e69bc95c1dec924dc98e288378c8cbf43b63620a69,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
